id,protocol,prefix
423,IPv4,206.126.116.0/24
955,IPv6,
748,IPv4,193.189.129.0/22
439,IPv4,193.138.31.0/24
954,IPv6,2001:504:16::/48
378,IPv4,185.1.14.0/24
1064,IPv6,2001:7f8:79::/64
711,IPv4,
712,IPv4,
713,IPv4,
558,IPv4,
560,IPv4,
261,IPv4,198.32.167.0/24
714,IPv4,
895,IPv4,196.223.12.128/25
1284,IPv6,2001:43F8:150::/64
616,IPv4,91.198.176.0/24
953,IPv6,2001:7f8:41::/48
624,IPv4,91.194.218.0/24
960,IPv6,2001:7f8:61::/64
833,IPv4,86.104.125.0/24
1251,IPv6,2001:7f8:64:225::/48
263,IPv4,
264,IPv4,
392,IPv4,119.27.63.0/24
961,IPv6,2001:DE8:7::/64
270,IPv4,80.67.163.0/24
406,IPv4,194.165.32.0/24
1047,IPv4,193.243.183.64/26
1048,IPv6,2001:7f8:53::/48
393,IPv4,193.243.183.64/26
384,IPv4,
316,IPv4,
1408,IPv4,206.108.114.0/24
275,IPv4,
830,IPv4,218.100.45.0/24
962,IPv6,2001:7fa:7:3::/64
883,IPv4,193.34.203.0/24
1366,IPv6,
276,IPv4,
898,IPv4,218.100.41.0/24
329,IPv4,
846,IPv4,
813,IPv4,212.91.0.0/22
630,IPv6,2001:7f8:60::/48
280,IPv4,
784,IPv4,206.51.33.0/24
281,IPv4,193.219.13.64/26
1622,IPv6,2001:778:0:1001::/64
581,IPv4,206.51.43.0/24
582,IPv6,2001:504:13:4:0:0:0:0/64
397,IPv4,196.223.1.0/24
285,IPv4,
868,IPv4,194.107.117.0/24
436,IPv4,198.32.186.0/24	
963,IPv6,2001:478:186::/64
289,IPv4,
290,IPv4,202.97.10.0/24
291,IPv4,
668,IPv4,78.41.189.128/26
725,IPv4,206.223.127.0/24
726,IPv6,2001:504:19:1::/64
722,IPv4,206.223.127.0/24
721,IPv6,2001:504:19::/64
702,IPv4,
292,IPv4,
394,IPv4,200.0.18.0/24
362,IPv6,2001:13c7:6003::/48
294,IPv4,191.97.88.0/21
295,IPv4,208.115.128.0/24
1521,IPv6,2001:504:0:10::/64
896,IPv4,200.0.22.0/23
325,IPv6,2001:13c7:6002::/48
556,IPv4,200.0.20.0/24
1319,IPv6,2001:7f8:1::/64
430,IPv4,
317,IPv4,218.100.54.128/25
298,IPv6,2001:0DE8:0009::/48
874,IPv4, 200.219.145.0/24
964,IPv6,2001:12f8:0:8::/64
921,IPv4,218.100.49.0/26
1339,IPv6, 2001:de8:1:4::/64
912,IPv4,218.100.49.64/26
918,IPv4,218.100.49.128/26
301,IPv4,
302,IPv4,
361,IPv4,196.223.27.0/24
646,IPv4,193.232.136.0/24
1252,IPv6,2001:7f8:20:701::/64
645,IPv4,193.232.140.0/24
416,IPv6,2001:7F8:20:501::140:0
612,IPv4,193.42.155.0/24
1139,IPv6,2001:7f8:8:10::/64
319,IPv4,91.206.135.0/24
320,IPv4,91.206.134.0/24
338,IPv4,195.82.138.0/23
339,IPv6,2001:7f8:4f::/48
323,IPv4,
324,IPv4,206.53.143.0/24
1195,IPv6,2001:504:47::/64
768,IPv4,200.219.144.0/24
994,IPv6,2001:12f8:0:7::/64
878,IPv4,200.219.146.0/24
