IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH
DE,78,556,123,KleyReX (KleyReX),KleyReX Internet Exchange,KleyReX,Frankfurt,Europe,2010-07-29T00:00:00Z,20020900,2011/2/1,2019-08-06T17:01:39Z,http://www.kleyrex.net/,http://www.kleyrex.net/stats.html,
HK,180,,125,Equinix Hong Kong (Equinix Hong Kong Exchange),,Equinix Hong Kong,Hong Kong,Asia Pacific,2010-07-29T00:00:00Z,,,2019-08-07T13:04:58Z,https://ix.equinix.com,,
JP,51,,126,BBIX - Tokyo (BroadBand Internet eXchange - Tokyo),,BBIX Tokyo,Tokyo,Asia Pacific,2010-07-29T00:00:00Z,,,2019-06-17T06:43:04Z,http://www.bbix.net/,,
US,256,286,127,OIX (Oregon Internet Exchange),Oregon Internet Exchange,Oregon Internet Exchange (OIX),Eugene  Oregon,North America,2010-07-29T00:00:00Z,0,0000-00-00,2019-06-17T14:41:01Z,http://www.oregon-ix.net/,http://www.oregon-ix.net/stat-frme.html,
SE,91,228,128,SOLIX - Stockholm (SOLIX),SOLIX,SOLIX,Stockholm,Europe,2010-07-29T00:00:00Z,20011200,2019/7/28,2019-05-28T06:09:22Z,https://www.sol-ix.net,,"['http://cacti.lidnet.net/graph_image.php?local_graph_id=4102&rra_id=0', 'http://cacti.lidnet.net/graph_image.php?local_graph_id=4102&rra_id=0']"
ZA,95,209,129,Johannesburg Internet Exchange Point (INX),Johannesburg Internet Exchange,JINX,Johannesburg,Africa,2010-07-29T00:00:00Z,19960600,2017/5/20,2019-08-06T20:01:16Z,https://www.inx.net.za,,
DE,79,,135,N-IX (Nurnberger Internet eXchange),,N-IX,Nuernberg,Europe,2010-07-29T00:00:00Z,,,2019-06-17T00:06:59Z,http://www.n-ix.net,,
US,,491,141,,Tampa Internet Exchange,TampaIX,Tampa,North America,2010-07-29T00:00:00Z,20050516,0000-00-00,,http://tampaix.net,,
US,52,373,142,CoreSite - Any2 Los Angeles (CoreSite - Any2 Los Angeles),Any2 California,CoreSite - Any2 California,Los Angeles and Silicon Valley,North America,2010-07-29T00:00:00Z,20051200,2009/6/22,2019-06-17T13:59:48Z,http://www.coresite.com,,
JP,120,,145,JPNAP - Osaka (Japan Network Access Point - Osaka),,JPNAP Osaka,Osaka,Asia Pacific,2010-07-29T00:00:00Z,,,2019-06-17T14:04:42Z,https://www.jpnap.net/en/,https://www.jpnap.net/en/osaka/traffic.html,
SE,103,864,146,GIX (Gothenburg Internet Exchange),Gothenburg Internet Exchange,GIX Gothenburg,Gothenburg,Europe,2010-07-29T00:00:00Z,20051221,0000-00-00,2019-05-28T16:05:36Z,http://www.gix.se,,
FR,302,712,148,EuroGIX (European Global Internet eXchange),EuroGIX,EuroGIX,Strasbourg,Europe,2010-07-29T00:00:00Z,20020304,2017/1/14,2019-06-17T23:57:38Z,http://www.eurogix.org/,,
US,246,321,151,Big APE (The big apple peering Exchange),Big Apple Peering Exchange,BigApe,New York,North America,2010-07-29T00:00:00Z,20010000,0000-00-00,2019-06-10T11:26:20Z,http://www.bigape.us,,
PH,,1981,154,,Bayan Telecommunications Internet and Gaming Exchange,BAYANTEL,Quezon City,Asia Pacific,2010-07-29T00:00:00Z,0,0000-00-00,,,,
US,223,369,155,SFMIX (San Francisco Metropolitan Internet Exchange),San Francisco Metropolitan Internet Exchange,SFMIX,San Francisco,North America,2010-07-29T00:00:00Z,20060500,2019/7/28,2019-06-19T01:29:11Z,https://www.sfmix.org/,https://sfmix.org/services/statistics,"['https://sfmix.org/static/img/daily.gif', 'https://sfmix.org/static/img/daily.gif']"
